"parameter","fit1","fit2","fit3","fit4","fit5"
"objective",3.08362362200252,3.08367633398678,3.0869835864643,3.10940556357617,3.12500208265996
"b",0.0879332205878099,1.98938950692451e-05,1.26449039043886e-05,1.25585686612949e-05,0.0170448295671483
"k",7.03361219542397e-05,0.0193446176879281,0.0363147003171268,0.0325578377974992,7.15362111546006e-05
"p",66971.908334839,166010.751593109,88480.7174582457,85835.7200087703,1581446.747795
"kF",0.243695352039631,0.444932641808164,0.710567805987246,0.135393734643181,6.22486434608079
"cV",10.0231579012433,10.6569247990915,10.0228663260203,10.2425364163299,12.9054719190052
"gF",0.00919757139796563,0.091890486883047,0.00796752440701344,0.813905604325419,536.526108555782
"hV",1.94055346497421,1.95696264753767,1.42478848979908,96227.0466237526,18461.1813586903
"Fmax",108.066041753557,11.4171348253515,118.514846738271,9971.78080820173,3.1492692213971
"hF",1.41889879220623e-05,641.495778862897,999.626882011347,999.996694237126,0.740129643177301
"gS",0.898082501429441,0.86510195311607,0.906458025682246,0.840439046137254,0.819447700964798
"cS",0.00100195097021729,0.00171014105618168,0.00106891947247911,0.000469150100603177,0.0196600981758895
"Emax_F",0.765181847367659,0.784979344315352,0.774034852762044,0.523601749471234,0.531342045133476
"C50_F",2.1208004153588e-16,4.28005767606248e-16,2.03846390712685e-16,4.49606053269553e-16,0.341107826264801
"C50_V",3.80743635171491e-15,7.1177302979302e-16,3.2767041716214e-15,1.82037570571639e-15,1.78641470087615e-17
